update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
24,49152,3269.790028396763,9,-0.625,0.4841229182759271,-1.0,0.0,584.4375,414.92920612286383,5.0,1024.0,1.0187965780496597,-0.10046056099236012,0.0025466707884334028,0.009663546341471374,0.040597936999165245,-0.625,0.4841229182759271,-1.0,0.0
25,51200,3702.2149206000304,10,-0.6875,0.46351240544347894,-1.0,0.0,547.5,402.153266802596,5.0,1024.0,1.029180333018303,-0.10733125265687704,-0.001750639254169073,0.006669979222351685,0.02711707748057543,-0.6875,0.46351240544347894,-1.0,0.0
26,53248,4159.953911815085,10,-0.625,0.4841229182759271,-1.0,0.0,652.6875,347.3225659869367,95.0,1024.0,1.0241233706474304,-0.1086277449503541,0.010044767026556656,0.012989841459784657,0.04199829814836898,-0.625,0.4841229182759271,-1.0,0.0
27,55296,4017.6998058486743,11,-0.75,0.4330127018922193,-1.0,0.0,520.125,337.31066448453714,84.0,1024.0,1.0172258019447327,-0.12316411174833775,-0.0016569352883379906,0.009130810998613015,0.042906429522614115,-0.75,0.4330127018922193,-1.0,0.0
28,57344,4985.261500139867,11,-0.8125,0.3903123748998999,-1.0,0.0,479.5,310.95417668846324,84.0,1024.0,1.0085844323039055,-0.13084499537944794,-0.008396521036047488,0.006478099996456876,0.031439029749550824,-0.8125,0.3903123748998999,-1.0,0.0
29,59392,4760.984346274183,12,-0.75,0.4330127018922193,-1.0,0.0,542.8125,335.4365101531883,30.0,1024.0,1.0156443268060684,-0.12304969318211079,-0.0021564497146755457,0.008569003344746307,0.03642299570895442,-0.75,0.4330127018922193,-1.0,0.0
30,61440,4602.7632822078,12,-0.75,0.4330127018922193,-1.0,0.0,511.875,337.19298535853324,30.0,1024.0,1.0216872841119766,-0.11220413632690907,-0.004193574917735532,0.006783157237805426,0.022821940663808653,-0.75,0.4330127018922193,-1.0,0.0
31,63488,5177.457090970242,13,-0.75,0.4330127018922193,-1.0,0.0,511.875,337.19298535853324,30.0,1024.0,1.0476713329553604,-0.090962796472013,-0.016949018579907715,0.00015572047777823173,0.00837968968580527,-0.75,0.4330127018922193,-1.0,0.0
32,65536,5296.628625196852,13,-0.6875,0.46351240544347894,-1.0,0.0,580.125,364.63489873433673,5.0,1024.0,1.025415763258934,-0.10877125710248947,0.005741246292018332,0.011650137312244624,0.03817781723947717,-0.6875,0.46351240544347894,-1.0,0.0
33,67584,4988.168017179405,13,-0.75,0.4330127018922193,-1.0,0.0,560.375,341.4079076046716,5.0,1024.0,1.036918267607689,-0.10642516054213047,0.004320708045270294,0.01009751739911735,0.03093586540577978,-0.75,0.4330127018922193,-1.0,0.0
34,69632,4944.459079540778,14,-0.8125,0.3903123748998999,-1.0,0.0,571.1875,327.9262910224644,5.0,1024.0,1.0387724339962006,-0.11701914761215448,0.007527287118136883,0.012598276662174612,0.0347676721354166,-0.8125,0.3903123748998999,-1.0,0.0
35,71680,4706.0527706480325,14,-0.75,0.4330127018922193,-1.0,0.0,597.5625,351.29225168476177,5.0,1024.0,1.0274854451417923,-0.09811180178076029,-0.010097066464368254,0.003523887411574833,0.01660581362513739,-0.75,0.4330127018922193,-1.0,0.0
36,73728,3892.847797102684,15,-0.8125,0.3903123748998999,-1.0,0.0,546.6875,344.73209140396256,5.0,1024.0,1.0253428220748901,-0.08981540240347385,-0.008263184456154704,0.003495846758596599,0.01855402950071245,-0.8125,0.3903123748998999,-1.0,0.0
37,75776,4402.414833637165,15,-0.75,0.4330127018922193,-1.0,0.0,580.5,378.62530950796196,5.0,1024.0,1.0377140790224075,-0.08499337173998356,-0.0039036633097566664,0.005998640575853642,0.020812526106106326,-0.75,0.4330127018922193,-1.0,0.0
38,77824,4838.069641698507,16,-0.6875,0.46351240544347894,-1.0,0.0,720.5625,349.0952536110309,115.0,1024.0,1.0271456092596054,-0.09898008964955807,0.004963348910678178,0.010270166851114482,0.02566551817722921,-0.6875,0.46351240544347894,-1.0,0.0
39,79872,5595.407036066223,16,-0.6875,0.46351240544347894,-1.0,0.0,755.6875,313.91235216816494,115.0,1024.0,1.00532678514719,-0.0915342215448618,-0.0005028403647884261,0.006837682565674186,0.029991564756727145,-0.6875,0.46351240544347894,-1.0,0.0
40,81920,5297.951664303438,16,-0.6875,0.46351240544347894,-1.0,0.0,696.1875,359.0446035574828,7.0,1024.0,1.0238447338342667,-0.0962216230109334,-0.007314047077670693,0.005536837634281255,0.022550737405511896,-0.6875,0.46351240544347894,-1.0,0.0
